S.No.,State/UT,2018-19 - Lives lost(No.),2018-19 - cattle Lost(No.),2018-19 - House damaged (No.),2018-19 - Crop Area (lac hect.),2019-20 (Provisional as on 20.02.2020) - Lives lost(No.),2019-20 (Provisional as on 20.02.2020) - cattle Lost(No.),2019-20 (Provisional as on 20.02.2020) - House damaged (No.),2019-20 (Provisional as on 20.02.2020) - Crop Area (lac hect.)
1,Andhra Pradesh,81,5884,47855,1.67,NA,NA,NA,NA
2,Arunachal Pradesh,33,47,1647,0.007,7,23,377,NA
3,Assam,53,122,77948,0.31,101,250,140440,2
4,Bihar,NA,NA,920,NA,133,80,45355,2.61
5,Chhattisgarh,23,11,145,NA,15,96,1246,0.018
6,Goa,NA,NA,74,NA,2,NA,540,NA
7,Gujarat,72,361,5202,NA,195,848,5318,NA
8,Haryana,3,2,43,NA,7,NA,1,NA
9,Himachal Pr.,429,416,5886,0.45,86,555,2940,NA
10,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA
11,Karnataka,67,240,7865,3.63,91,59600,115792,9.35
12,Kerala,455,76830,654062,1,125,829,30039,0.36
13,Madhya Pr.,31,2,191,NA,674,1700,51830,60.47
14,Maharashtra,101,1560,NA,NA,253,4230,109714,4.17
15,Manipur,25,142,10820,0.06,NA,NA,NA,NA
16,Meghalaya,7,4632,13100,0.02,23,NA,37771,NA
17,Mizoram,22,NA,NA,NA,3,NA,1523,NA
18,Nangaland,19,896,5202,0.05,19,5,1458,NA
19,Odisha,94,4812,62341,3.9,13,136,5139,1.49
20,Punjab,35,29,229,0.52,20,615,2618,1.51
21,Rajasthan,29,8,NA,NA,126,314,27284,23.92
22,Sikkim,4,NA,83,NA,6,1304,485,NA
23,Tamil Nadu,164,21790,567453,1.22,25,70,1158,NA
24,Telangana,9,NA,NA,NA,NA,NA,NA,NA
25,Tripura,22,4167,40897,0.32,8,15,44963,0.014
26,Uttar Pr.,105,140,28063,2.9,166,297,33986,8.3
27,Uttarakhand,103,770,2648,0.55,80,400,814,0.003
28,West Bengal,383,93,23964,0.49,227,382,83787,0.08
29,UT of J&K and UT of Ladakh,31,32,42,NA,17,6,11,NA
30,UT of Pudducherry,NA,28,1228,NA,NA,NA,NA,NA
31,UT of Lakshdweep,NA,NA,NA,NA,NA,NA,NA,NA
Total,Total,2400,123014,1557908,17.097,2422,71755,744589,114.295
